questionFormat,answerFormat
What is the units break down for [MMC] major?,You need [NUM_UNITS] major units, [NUM_UNITS] GE units, [NUM_UNITS] support units, [NUM_UNITS] life science support elective units, ..., [NUM_UNITS] free elective units
How many GE units do I need for the [MMC] major?,You need [NUM_UNITS] GE units to complete the [MMC] major.
How many support units do I need for the [MMC] major?,You need [NUM_UNITS] support units to complete the [MMC] major.
How many units do I need for the [MMC] major?,You need [NUM_UNITS] units to complete the [MMC] major.
In order to complete the [MMC] major, how many units will I need?,You need [NUM_UNITS] units to complete the [MMC] major.
How many units do I need for the [MMC] minor?,You need [NUM_UNITS] units to complete the [MINOR] minor.
How many units does the [MMC] require?,The [MMC] requires [NUMERIC] units to graduate.
How many classes per quarter do I have to take for [MMC]?,To finish the [MMC] in 4 years, you must average [NUMERIC] classes per quarter.
How many concentrations are there in [MMC]?,There are [NUMERIC] concentrations in [MMC]. They are: [CONCENTRATION_LIST].
How many courses are required for [MMC]?,[MINOR] requires [NUMERIC] courses. They are:  [COURSE].
Can I double major with [MMC]?,[Y]: In addition to [MMC], you may also major in [MMC]: You may not double major with [MMC].
What are the degree requirements for [MMC]?,The degree requirements for [MMC] are: [DEGREE_REQUIREMENTS]
How many students are enrolled in [MMC]?,There are currently [TOTAL_COUNT] students enrolled in [MMC]
Is there a BS/MS blend with [MMC]?,[Y]: [MMC] has a 4+1 BS/MS program or [N]: [MMC] currently does not have a blended Bachelor's and Masters program
How many units are required for [MMC]?,[TOTAL_COUNT] units are required to obtain a [MINOR] minor
Does an inquiry need to be submitted to switch into [MMC],If one is switching within the College of Engineering into [MMC], then there is no portal inquiry required to switch.
What are the minimum requirements to switch into [MMC],To switch into [MMC]: [REQUIREMENTS]
Does [MMC] contain any free electives?,Y/N: [MMC] does (not) have free electives are part of its degree requirements
What courses are needed to obtain [MMC],To obtain the [CONCENTRATION] concentration, students must take [COURSE][0], [COURSE][1]...and [COURSE][N]
Is there a GPA requirement to enroll in [MMC],Y/N, there is (not) a GPA requirement to begin this [CONCENTRATION].  if yes: The GPA requirement to enroll is [GPA_REQ]
How many tech electives are required for [MMC]?,There are [TOTAL_ELECTIVE_COUNT] electives required as part of the [MMC] degree requirements
What are the general education categories required for [MMC] majors?,The general education categories needed for [MMC] majors are [GE_TYPES]
Are there any [MMC] classes that can be taken by credit/no credit?,N, there are no major classes for [MMC] that can be taken on a pass/fail basis.
Can any technical electives for [MMC] be taken by credit/no credit?,N, technical electives for [MMC] majors are not allowed to be taken on a pass/fail basis.
How many GEs do I have to take in [MMC]?,You need to take [major-ge-units] units to graduate in [major].
How many general educations do I have to take in [MMC]?,You need to take [major-ge-units] units to graduate in [major].
How many general education classes do I have to take in [MMC]?,You need to take [major-ge-units] units to graduate in [major].
How many units of electives do I need for [MMC]?,You need [ge-elective-units-major] of electives to graduate in [major].
What is the total number of units of electives needed to graduate in [MMC]?,You need [ge-elective-units-major] of electives to graduate in [major].
How many approved electives do I have to take for the [MMC]?,You have to take [minor-approved-electives-units] approved electives for the [minor].
What are the approved electives I can take for a [MMC]?,The approved electives for a [minor] are [approved-electives-minor]
What are the program educational objectives for the [MMC]?,The program educational objectives for the [major] are [major-peos].
What are the learning outcomes of [MMC]?,The learning outcomes for the [major] are [major-learning-outcomes-list].
What are the learning outcomes for [MMC]?,The learning outcomes for the [major] are [major-learning-outcomes-list].
What are the [MMC] courses?,The [major] courses are [COURSE].
What are the courses required for [MMC]?,The [major] courses are [COURSE].
How many courses do we have in [MMC]?,The number of courses in [major] are: [total-num-of-courses].
What are some [MMC] resources that are available?,These are some that are available to you: [MMC-resources].
What resources are there for [MMC]?,These are some resources that are available to you: [MMC-resources].
Where can I get advising for a [MMC]?,These are some resources that are available to you: [MMC-resources].
What are the course numbers that are considered independent study in [MMC]?,The courses that are considered independent study are: [independent-study-courses].
How many units does the [MMC] require?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.
How many units do I need for a [MMC]?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.
What are the steps to apply for the [MMC]?,You need to take [minor-steps] to attain a  [minor].
How do I apply for a [MMC]?,You need to take [minor-steps] to attain a [minor].
What are the required courses for the [MMC]?,The required courses for the [minor] are: [required-minor-courses].
What are the prerequisites for the [MMC]?,You need to meet the following requirements to apply for the [minor]: [minor-prerequisites].
Where can I get the application for the [MMC]?,You can access the application for the [minor] in the following link: [minor-application-link].
Where can I get the flowchart for the [MMC]?,You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].
What courses should I take each quarter for the [MMC]?,In order to determine what courses you should take each quarter in order to pursue the [minor], you should visit the minors flowchart. You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].
How many classes do I have to take for [MMC]?,You need to take [total-units] units worth of classes for [MMC]. The total number of classes may vary.
What is the total number of classes needed to graduate in [MMC]?,You need to take [total-units] units worth of classes for [MMC]. The total number of classes may vary.
How do I declare [MMC] concentration?,You need to complete the following steps [concentration-type-steps]
What are the required courses for the [MMC]?,The required courses for the [concentration] are [concentration-required-courses].
Who are the minor advisors for [MMC]?,The minor advisors for [minor] are [minor-advisors].
Who can I contact to get more information about the [MMC]?,You can contact [minor-advisors] to learn more about [minor].
Who can I contact if I have questions about [MMC]?,If you have questions about [minor], you may contact [contact-info].
Who will help me if I have doubts about [MMC]?,If you have questions about [minor], you may contact [contact-info].
Where can I get the flowchart for [MMC]?,In order to view the [year-range] flowchart for [MMC], visit the following link: [flowchart-link].
What are the GE area required for [MMC]?,List of Strings
What are the undergraduate courses for [MMC]?,List of Strings
What are the graduate courses for [MMC]?,List of Strings
How many courses are required for [MMC]?,Number
How many GE areas have to be completed for [MMC]?,Number
What minor would make more sense with [MMC],String
At best, how long last [MMC]?,Number
How many years are necessary to graduate from [MMC]?,Number
What are the tech electives for [MMC]?,[Course(s)]
What courses are electives for [MMC]?,[Course(s)]
What electives can I take to get a [MMC]?,[Course(s)]
What courses are credit not allowed for [MMC]?,The following courses do not allow credit for [MMC] students: [DEPARTMENT-NAME] [COURSE-NUM] [COURSE-NAME]...
What are the program objectives of [MMC]?,[Program Objectives]
What are the learning outcomes of [MMC]?,[Learning Outcomes]
How many people are in the classes for [MMC]?,[Number] are in a typical class for [MMC].
What are the prerequisites for [MMC]?,[MMC]'s prerequisites are: [list of prerequisites]
Is there a [MMC]?,(Yes/no), the CSSE department (does/doesn't) offer the following a [MMC]
What is the [MMC]?,The [MMC] encompasses [text]
Is [MMC] a part of another department?,The [MMC] is a part of the [DEPT].
Who is the advisor for [MMC]?,[Name] is the advisor for the [MMC] 
How many units to get a Minor in [MMC]?,[MMC] requires [units] number of units.
How many prerequisites are there for [MMC]?,[Count] prerequisites for [MMC].
How many students take [MMC]?,[Number]
Will [MMC] help me get a job?,[MMC] can do [about].
How many classes would I have to take to get a Minor in [MMC]?,[Units/4] classes are required for [MMC]
How do I learn more about [MMC]?,Here is info about [MMC]: [about]
Which classes are crosslisted in [DEPT]?,[COURSE] are crosslisted in [DEPARTMENT_ABBREVIATION].
What [DEPT] courses are required?,List of Strings
What classes are required from [DEPT]?,List of Strings
How many [DEPT] courses are required?,Number
How many courses from [DEPT] are required?,Number
How many classes of [DEPT] do I have to complete?,Number
What clubs does the [DEPT] department offer?,The following clubs are in the [DEPT] department: [Club], .
How many clubs are in the [DEPT] department?,There are [Number] clubs.
What types of clubs does the [DEPT] department offer?,[Club(s)] are (is a) [Type] club(s),.
How do you sign up to be a [DEPT] tutor?,Contact [Faculty] at [Email].
What accreditations does [DEPT] have?,[DEPT] has [list of accreditations].
What college does [DEPT] belong to?,[DEPT] belongs to the college of [college].
What positions are available in [DEPT]?,[DEPT] has the following positions available: [list of positions].
Can I get a job at Cal Poly in [DEPT]?,[DEPT] has the following available positions: [list of positions available].
Who is the advisor of the [CLUB] club?,[Faculty] is the advisor of the [Club] club.
What is the email of the President of the [CLUB] club?,[Person]s email is [Email].
What type of club is the [CLUB] club?,It is a [Type] club.
What is the email for the advisor of the [CLUB] club?,[Faculty]s email is [Email].
What is the [CLUB] club?,[Club-Description]
What is the homepage of the [CLUB] club?,The homepage is [Club-Website].
What is the box number of the [CLUB] club?,The box number to the [Club] club is [Box-Number].
What is the email for the [CLUB] club?,The email for the [Club] club is [Email].
What are the social media accounts for the [CLUB] club?,[Club] clubs Facebook page is [Facebook]. [Club] clubs Instagram account is [Instagram].
How many people follow the [CLUB] club's Facebook page?,[Followers] follow the [CLUB] clubs Facebook page.
Are there any new posts on the [CLUB] club's Facebook page?,There are [Posts] new posts today and [Posts] posts in the past 30 days on the [CLUB] clubs Facebook page.
What is the next event for [CLUB]?,The next event is [Stat-Event] on [Date].
When is the next event for [CLUB]?,The next event is [Stat-Event] on [Date].
How many people follow the [CLUB] club's Facebook page?,[Followers] follow the [CSSE-Club] clubs Facebook page.
What is the next event for [CLUB]?,The next event is [CSSE-Event] on [Date].
When is the next event for [CLUB]?,The next event is [CSSE-Event] on [Date].
Who are the officers for [CLUB] club?,The officers for [CLUB] are: [Person] ([Position]),.
Who are the officers for [CLUB] club?,The officers for [CSSE-Club] are: [Person] ([Position]),.
When are the meetings for [CLUB] club?,The meetings are [Day] at [Time] in room [Room].
When is the next meeting for [CLUB] club?,The next meeting is at [Date] at [Time] in room [Room].
Where is [CLUB] located?,[CLUB] is located in [Room].
Where is [CLUB] located?,[CSSE-Club] is located in [Room].
Does [CLUB] have their own room? (No.,Yes.)
What college is affiliated with the [CLUB] club?,The College of [College].
What are some past events of the [CLUB] club?,Some past events are [Stat-Event] on [Date],.
What are some past events of the [CLUB] club?,Some past events are [CSSE-Event] on [Date],
What was the last event of the [CLUB] club?,The last event was [Stat-Event] on [Date].
What was the last event of the [CLUB] club?,The last event was [CSSE-Event] on [Date].
When was the last event of [CLUB] club?,The last event was [Stat-Event] on [Date].
Who is the president of the [CLUB] club?,[Person] is the president.
Who is the vice president of the [CLUB] club?,[Person] is the vice president.
Who is the secretary of the [CLUB] club?,[Person] is the secretary.
Who is the treasurer of the [CLUB] club?,[Person] is the treasurer.
How can I contact [CLUB]?,Contact [Club] via [Email].
What is the phone number of the President of the [CLUB] club?,[Person]s phone number is [Phone Number].
What is the phone number of the Advisor of the [CLUB] club?,[Faculty]s phone number is [Phone Number].
When was the [CLUB] established?,The [CLUB] was established on [Date].
When was the [CLUB] established?,The [CLUB] was established on [Date].
Does the [CLUB] have an office?,No./Yes.
Where is the office of the [CLUB]?,The [CLUB] has no office./It is in [Room].
How many officers does the [CLUB] have?,The [CLUB] has [Number] officers.
How many teams does the [CLUB] have?,The [CLUB] has [Number] teams.
Where will the next event of the [CLUB] be held?,The next event of the [CLUB] will be held in [Room] or [Place].
When will the next event of the [CLUB] be held?,The next event of the [CLUB] will be held at [Time] on [Date].
How many events does the [CLUB] have next week?,The [CLUB] has [number] events next week.
What is the next event of the [CLUB]?,It is the [Event].
What is the website link for [CLUB]?,The URL is [CLUB_WEBSITE].
Is there a website for [CLUB]?,[YesOrNo] (if yes then: The URL is [CLUB_WEBSITE].)
How do I learn more about [CLUB]?,The URL for [CSSESTATClubOrgName] is [CLUB_WEBSITE].
What does [CLUB] do?,[club description].
Who should I contact for [CLUB]?,[ContactName].
Is there a contact for [CLUB]?,The contact is [NAME].
What is the location of [CLUB]?,[LOCATION]
Where is [CLUB]?,The club location is [LOCATION].
Where can I visit [CLUB] online?,The URL is [CLUB_WEBSITE].
What is the URL for [CLUB]?,The URL is [CLUB_WEBSITE].
Can you describe the [CLUB]?,[club description].
Could you give me a brief overview of [CLUB]?,[club description].
Who is the chief contact for [CLUB]?,[ContactName]
Who should I get in touch with for [CLUB]?,[ContactName]
What is the general contact information for [CLUB]?,The email is [ClubGenEmail] and the phone number is [ClubGenPhone]
Who is the club adviser for [CLUB]?,The club adviser for [CSSESTATClubOrgName] is [FacultyAdviser]
What teachers teach a class in [LOCATION]?,[PROF] teach in [building name].
Which classes are taught in [LOCATION]?,[COURSE] are taught in [building name].
Do any teachers have office hours in [LOCATION]?,[yes/no] [teacher]s office hours are in [office location]
What professors have offices in [LOCATION]?,[PROF] have offices in [Building].
Which professors have office hours in [LOCATION]?,[PROF] have office hours in [Room].
Who are the professors with office hours in [LOCATION]?,[PROF] have office hours in [Room].
Whose office is in [LOCATION]?,[PROF]'s office is in [Room]
Which professors have offices in building [LOCATION]?,[PROF] have offices in building [Building].
How many professors have offices in building [LOCATION]?,[N] professors have offices in building [Building].
