formula helper 1,,,uncategorized,,"README                
the formula helpers work by                 
* matching strings in green        
* explicitly-NOT-matching strings in RED 
      which start with ""~""        

Note: use ""NA_HELPER"" instead of """"                
  because SEARCH("""",""hello"") returns 1                ",,,"""match course""",course,MMC,major,prof,minor,concentration,department,time,date,ge_area,term,number,club,tutoring,topics,rating,requirement,building,,course,MMC,prof,,,
237,117,H1,,,,,What are some good tech electives to study [SUBJECT_MATTER]?,They are all good.,NA,NA,[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[SUBJECT_MATTER],NA,NA,NA,,,
238,118,H1,,,,,What classes should I take with [CLASS_NAME]?,The following classes go well with [CLASS_NAME]: [CLASS_NAME_LIST].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[CLASS_NAME],NA,NA,NA,,,
239,119,H1,,,,,What classes should I take to get a job in [SUBJECT_MATTER]?,The following classes help provide experience in [SUBJECT_MATTER]: [CLASS_NAME_LIST].,NA,NA,[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[SUBJECT_MATTER],NA,NA,NA,,,
240,120,H1,,,,,What subjects are also commonly studied with [SUBJECT_MATTER]?,The following course subjects are commonly covered with [SUBJECT_MATTER]: [SUBJECT_MATTER_LIST].,NA,NA,[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[SUBJECT_MATTER],NA,NA,NA,,,
241,0,F1,,,,,How many GEs do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
242,1,F1,,,,,How many general educations do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
243,2,F1,,,,,How many general education classes do I have to take in [major]?,You need to take [major-ge-units] units to graduate in [major].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
244,3,F1,,,,,What GEs satisfy area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,NA,NA,NA,NA,NA,NA,NA,NA,NA,[GE_AREA],NA,NA,NA,NA,NA,NA,NA,NA,[ge-area],NA,NA,NA,,,
245,4,F1,,,,,What general educations satisfy area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,NA,NA,NA,NA,NA,NA,NA,NA,NA,[GE_AREA],NA,NA,NA,NA,NA,NA,NA,NA,[ge-area],NA,NA,NA,,,
246,5,F1,,,,,What courses are included in GE area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,NA,NA,NA,NA,NA,NA,NA,NA,NA,[GE_AREA],NA,NA,NA,NA,NA,NA,NA,NA,[ge-area],NA,NA,NA,,,
247,6,F1,,,,,What courses are included in general education area [ge-area]?,GE area [ge-area] includes the following courses: [ge-area-course-names].,NA,NA,NA,NA,NA,NA,NA,NA,NA,[GE_AREA],NA,NA,NA,NA,NA,NA,NA,NA,[ge-area],NA,NA,NA,,,
248,7,F1,,,,,What is the subject of GE area [ge-area]?,The subject of GE area [ge-area] is [ge-area-subject].,NA,NA,NA,NA,NA,NA,NA,NA,NA,[GE_AREA],NA,NA,NA,NA,NA,NA,NA,NA,[ge-area],NA,NA,NA,,,
249,8,F1,,,,,What is the subject of general education area [ge-area]?,The subject of GE area [ge-area] is [ge-area-subject].,NA,NA,NA,NA,NA,NA,NA,NA,NA,[GE_AREA],NA,NA,NA,NA,NA,NA,NA,NA,[ge-area],NA,NA,NA,,,
250,9,F1,,,,,What are the general education areas?,The general education areas are [ge-area-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
251,10,F1,,,,,What are the GE requirements?,The GE requirements are the following: [ge-requirements].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
252,11,F1,,,,,What are the general education requirements?,The GE requirements are the following: [ge-requirements].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
253,12,F1,,,,,What GE areas are considered [division-level]?,The following GE areas are considered [division-level]: [division-ge-area-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[division-level],NA,NA,NA,,,
254,13,F1,,,,,What general education areas are considered [division-level]?,The following GE areas are considered [division-level]: [division-ge-area-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[division-level],NA,NA,NA,,,
255,14,F1,,,,,How many units of electives do I need for [major]?,You need [ge-elective-units-major] of electives to graduate in [major].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
256,15,F1,,,,,What is the total number of units of electives needed to graduate in [major]?,You need [ge-elective-units-major] of electives to graduate in [major].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
257,16,F1,,,,,How many approved electives do I have to take for the [minor]?,You have to take [minor-approved-electives-units] approved electives for the [minor].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
258,17,F1,,,,,What are the approved electives I can take for a [minor]?,The approved electives for a [minor] are [approved-electives-minor],NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
259,18,F1,,,,,What courses may I choose that satisfy the [elective-type] requirement?,"In order to satisfy the [elective-type] requirement, you may choose from the following courses: [elective-type-course-names].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[REQUIREMENT],NA,[elective-type],NA,NA,NA,,,
260,19,F1,,,,,What are the courses that help me satisfy the [elective-type] requirements?,"In order to satisfy the [elective-type] requirement, you may choose from the following courses: [elective-type-course-names].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[REQUIREMENT],NA,[elective-type],NA,NA,NA,,,
261,20,F1,,,,,How many units of [elective-type] do I have to take?,You need to take [elective-type-units] in [elective-type].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[REQUIREMENT],NA,[elective-type],NA,NA,NA,,,
262,21,F1,,,,,What courses can I take instead of [course] for [major]?,You could take any of [major-course-alternatives-list] instead of [course] for [major].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[course],NA,[MMC],NA,[major],,
263,22,F1,,,,,Are there any alternatives to [course] for [major]?,You could take any of [major-course-alternatives-list] instead of [course] for [major].,[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[course],NA,[MMC],NA,[major],,
264,23,F1,,,,,What CSSE courses are offered in [season]?,The CSSE courses typically offered in [season] are [season-course-names].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[TERM],NA,NA,NA,NA,NA,NA,NA,[season],NA,NA,NA,,,
265,24,F1,,,,,What computer science and software engineering courses are offered in [season]?,The CSSE courses typically offered in [season] are [season-course-names].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[TERM],NA,NA,NA,NA,NA,NA,NA,[season],NA,NA,NA,,,
266,25,F1,,,,,How many CSSE courses will be available during the [season] quarter?,There are [number-season-courses] CSSE courses typically offered during [season] quarter.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[TERM],NA,NA,NA,NA,NA,NA,NA,[season],NA,NA,NA,,,
267,26,F1,,,,,How many computer science and software engineering courses will be available during the [season] quarter?,There are [number-season-courses] CSSE courses typically offered during [season] quarter.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[TERM],NA,NA,NA,NA,NA,NA,NA,[season],NA,NA,NA,,,
268,27,F1,,,,,What are the courses that are in both CSC and SE curriculum?,The courses that are common for both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
269,28,F1,,,,,What are the courses that are in both Computer Science and SE curriculum?,The courses that are common for both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
270,29,F1,,,,,What are the courses that are in both Computer Science and Software Engineering curriculum?,The courses that are common for both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
271,30,F1,,,,,What courses are cross listed as CSC and SE?,The courses that are common for both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
272,31,F1,,,,,What courses are cross listed as Computer Science and SE?,The courses that are common for both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
273,32,F1,,,,,What courses are cross listed as Computer Science and Software Engineering?,The courses that are common for both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
274,33,F1,,,,,How many courses are present in both CSC and SE?,The number of courses that are common in both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
275,34,F1,,,,,How many courses are present in both Computer Science and SE?,The number of courses that are common in both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
276,35,F1,,,,,How many courses are present in both Computer Science and Software Engineering?,The number of courses that are common in both the departments are [overlapping-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
277,36,F1,,,,,What are the graduate level courses?,The graduate level courses in CSC are [graduate-courses-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
278,37,F1,,,,,What are all the courses in [major] that are of [course-units] units?,The following courses count for [course-units] units: [major-course-names-of-units].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],[COURSE],NA,NA,[course-units],,
279,38,F1,,,,,What is the CSSE mission statement?,The CSSE mission statement is [csse-mission-statement].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
280,39,F1,,,,,What is the computer science and software engineering mission statement?,The CSSE mission statement is [csse-mission-statement].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
281,40,F1,,,,,What are the program educational objectives for the [major]?,The program educational objectives for the [major] are [major-peos].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
282,41,F1,,,,,What are the learning outcomes of [major]?,The learning outcomes for the [major] are [major-learning-outcomes-list].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
283,42,F1,,,,,What are the learning outcomes of the GE program?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
284,43,F1,,,,,What are the learning outcomes of the general education program?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
285,44,F1,,,,,What are the general education learning outcomes?,The GE programâs learning outcomes are the following: [ge-learning-outcomes].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
286,45,F1,,,,,What are the learning outcomes for [major]?,The learning outcomes for the [major] are [major-learning-outcomes-list].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
287,46,F1,,,,,What are the learning objectives for the MS in Computer Science?,The learning objectives for the MS in Computer Science are [ms-learning-objectives].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
288,47,F1,,,,,What are the learning objectives for the Masters Degree in Computer Science?,The learning objectives for the MS in Computer Science are [ms-learning-objectives].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
289,48,F1,,,,,What are the [major] courses?,The [major] courses are [major-courses].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
290,49,F1,,,,,What are the courses required for [major]?,The [major] courses are [major-courses].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
291,50,F1,,,,,How many courses do we have in [major]?,The number of courses in [major] are: [total-num-of-courses].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
292,51,F1,,,,,What courses are important to transfer into Computer Science?,"In order to maximize your chance of election, you should take the following courses: [transfer-courses].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
293,52,F1,,,,,What courses do I need to take to transfer into Computer Science?,"In order to maximize your chance of election, you should take the following courses: [transfer-courses].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
294,53,F1,,,,,What are some [major] resources that are available?,These are some that are available to you: [major-resources].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
295,54,F1,,,,,What resources are there for [major]?,These are some resources that are available to you: [major-resources].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
296,55,F1,,,,,Where can I get advising for a [major]?,These are some resources that are available to you: [major-resources].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
297,56,F1,,,,,What are the course numbers that are considered independent study in [major]?,The courses that are considered independent study are: [independent-study-courses].,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
298,57,F1,,,,,What are some independent study course that I have available?,The courses that are considered independent study are: [independent-study-courses].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
299,58,F1,,,,,What is the minimum number of upper division units needed to graduate with a BS in Computer Science?,The minimum number of upper division units need to graduate with a BS in Computer Science are [minimum-upper-division-units].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
300,59,F1,,,,,What is the minimum number of upper division units needed to graduate with a Bachelors Degree in Computer Science?,The minimum number of upper division units need to graduate with a BS in Computer Science are [minimum-upper-division-units].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
301,60,F1,,,,,How many [division-level] units are required for a [minor]?,The [minor] requires [minor-division-units] [division-level] units.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[division-level],NA,[MMC],NA,[minor],,
302,61,F1,,,,,How many [division-level] units does [minor] require?,The [minor] requires [minor-division-units] [division-level] units.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[division-level],NA,[MMC],NA,[minor],,
303,62,F1,,,,,How many units does the [minor] require?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
304,63,F1,,,,,How many units do I need for a [minor]?,The [minor] requires [minor-required-units] required units and [minor-approved-elective-units] approved elective units.,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
305,64,F1,,,,,What are the general requirements for a minor at Cal Poly?,The general requirements for a minor at Cal Poly are [minor-general-requirements].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
306,65,F1,,,,,What are the steps to apply for the [minor]?,You need to take [minor-steps] to attain a  [minor].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
307,66,F1,,,,,How do I apply for a [minor]?,You need to take [minor-steps] to attain a [minor].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
308,67,F1,,,,,What are the required courses for the [minor]?,The required courses for the [minor] are: [required-minor-courses].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
309,68,F1,,,,,What is the minimum CGPA required to apply for minor in Computer Science?,You have to maintain a CGPA of [minimum-gpa-minor] or higher to apply for a minor in Computer Science.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
310,69,F1,,,,,What is the minimum Cumulative Grade Point Average required to apply for minor in Computer Science?,You have to maintain a CGPA of [minimum-gpa-minor] or higher to apply for a minor in Computer Science.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
311,70,F1,,,,,What are the prerequisites for the [minor]?,You need to meet the following requirements to apply for the [minor]: [minor-prerequisites].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
312,71,F1,,,,,Where can I get the application for the [minor]?,You can access the application for the [minor] in the following link: [minor-application-link].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
313,72,F1,,,,,Where can I get the flowchart for the [minor]?,You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].,NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
314,73,F1,,,,,What courses should I take each quarter for the [minor]?,"In order to determine what courses you should take each quarter in order to pursue the [minor], you should visit the minorâs flowchart. You can access the flowchart for CSSE students pursuing a [minor] in the following link: [minor-flowchart-link].",NA,[MMC],NA,NA,[MINOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[minor],NA,NA,NA,,,
315,74,F1,,,,,How many units do I need to graduate?,You need [graduation-units] total units to graduate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
316,75,F1,,,,,What are the mandatory classes that I have to take in order to graduate?,You need to take [all-required-course-list] to graduate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
317,76,F1,,,,,What classes do I have to take in order to graduate?,You need to take [all-required-course-list] to graduate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
318,77,F1,,,,,Can I double count the [elective-name] elective?,[elective-is-double-countable].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[elective-name],NA,NA,NA,,,
319,78,F1,,,,,What classes can I double count?,"The classes: [double-countable-classes], may be double counted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
320,79,F1,,,,,How many classes do I have to take for [major]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
321,80,F1,,,,,What is the total number of classes needed to graduate in [major]?,You need to take [total-units] units worth of classes for [major]. The total number of classes may vary.,NA,[MMC],[MAJOR],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[major],NA,NA,NA,,,
322,81,F1,,,,,What concentrations are available?,The following concentrations are available [concentration-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
323,82,F1,,,,,How do I declare [concentration] concentration?,You need to complete the following steps [concentration-type-steps],NA,[MMC],NA,NA,NA,[CONCENTRATION],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[concentration],NA,NA,NA,,,
324,83,F1,,,,,What are the required courses for the [concentration]?,The required courses for the [concentration] are [concentration-required-courses].,NA,[MMC],NA,NA,NA,[CONCENTRATION],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[concentration],NA,NA,NA,,,
325,84,F1,,,,,What GPA do I need to graduate?,You need a GPA of at least [minimum-grad-gpa] to graduate as a CSSE major.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
326,85,F1,,,,,What is the minimum GPA?,You need a GPA of at least [minimum-grad-gpa]  to graduate as a CSSE major.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
327,86,F1,,,,,What GPA do I need to attain an honor?,The following Honors are available [honors-gpa-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
328,87,F1,,,,,What honors are available?,The following Honors are available [honors-gpa-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
329,88,F1,,,,,What GPA do I need to obtain [honor-name]?,The following Honors are available [honors-gpa-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[honor-name],NA,NA,NA,,,
330,89,F1,,,,,What honor am I eligible for with a GPA of [gpa-number]?,The following Honors are available [honors-gpa-list].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[NUMBER],NA,NA,NA,NA,NA,NA,[gpa-number],NA,NA,NA,,,
331,90,F1,,,,,Can I take classes as credit/no credit?,You may not take any major classes as credit/no credit.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
332,91,F1,,,,,Can I take classes as pass/no pass?,You may not take any major classes as credit/no credit.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
333,92,F1,,,,,How many units do I need to take to be considered a [class-level]?,"In order to be considered a [class-level], you have to take [class-level-units].",[COURSE],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[class-level],NA,NA,NA,,,
334,93,F1,,,,,"If I have taken [num-units], what class level am I considered?","If you have taken [num-units], you are considered a [class-level] student.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[NUMBER],NA,NA,NA,NA,NA,NA,[num-units],NA,NA,NA,,,
335,94,F1,,,,,"If I have taken [num-units], what division level am I considered?","If you have taken [num-units], you would be considered a [division-level] student.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[NUMBER],NA,NA,NA,NA,NA,NA,[num-units],NA,NA,NA,,,
336,95,F1,,,,,How many units do I need to take to be considered [division-level]?,"In order for you to be considered [division-level], you must take [division-level-units].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[division-level],NA,NA,NA,,,
337,96,F1,,,,,How many units do transfer applicants need prior to transfer as a CSSE major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
338,97,F1,,,,,How many units do transfer applicants need prior to transfer as a computer science and software engineering major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
339,98,F1,,,,,What courses articulate to apply as a CSSE transfer student?,The courses that articulate are [transfer-articulate-courses].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
340,99,F1,,,,,What courses articulate to apply as a computer science and software engineering transfer student?,The courses that articulate are [transfer-articulate-courses].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
341,100,F1,,,,,What are some general guidelines for a CSSE transfer student?,The general guidelines are [csse-transfer-guidelines].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
342,101,F1,,,,,What are some general guidelines for a computer science and software engineering transfer student?,The general guidelines are [csse-transfer-guidelines].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
343,102,F1,,,,,What is the minimum amount of transferable units required to transfer as a CSSSE major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
344,103,F1,,,,,What is the minimum amount of transferable units required to transfer as a CSSSoftware Engineering major?,Transfer applicants need a minimum of [transfer-min-units] completed prior to transfer.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,
